,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
LR Letter 1 Trial 1,0.9618,0.0,0.8754473233542256,0.9625333333333334,0.0,0.8662617529167543
LR Letter 1 Trial 2,0.9618,0.0,0.8587835417666918,0.9625333333333334,0.0,0.8466422139283494
LR Letter 1 Trial 3,0.9632,0.0,0.8643787014300159,0.9620666666666666,0.0,0.8581876620568467
LR Letter 1 Trial 4,0.9628,0.0,0.8660146704727697,0.9622,0.0,0.8537455378260015
LR Letter 1 Trial 5,0.9624,0.0,0.8639339152119702,0.9623333333333334,0.0,0.8444503434682785
