,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
KNN Mush Trial 1,1.0,1.0,1.0,1.0,1.0,1.0
KNN Mush Trial 2,1.0,1.0,1.0,1.0,1.0,1.0
KNN Mush Trial 3,1.0,1.0,1.0,1.0,1.0,1.0
KNN Mush Trial 4,1.0,1.0,1.0,1.0,1.0,1.0
KNN Mush Trial 5,1.0,1.0,1.0,1.0,1.0,1.0
