,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
LR Mush Trial 1,1.0,1.0,1.0,1.0,1.0,1.0
LR Mush Trial 2,1.0,1.0,1.0,1.0,1.0,1.0
LR Mush Trial 3,1.0,1.0,1.0,1.0,1.0,1.0
LR Mush Trial 4,1.0,1.0,1.0,1.0,1.0,1.0
LR Mush Trial 5,1.0,1.0,1.0,1.0,1.0,1.0
