,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
RF Letter 1 Trial 1,1.0,1.0,1.0,0.9880666666666666,0.809573361082206,0.9970577346553355
RF Letter 1 Trial 2,1.0,1.0,1.0,0.9884666666666667,0.8304914744232699,0.9971833792695136
RF Letter 1 Trial 3,1.0,0.994535519125683,1.0,0.9868666666666667,0.7971014492753623,0.9975140779607072
RF Letter 1 Trial 4,1.0,1.0,1.0,0.9868666666666667,0.7924921793534931,0.9965016849125027
RF Letter 1 Trial 5,1.0,1.0,1.0,0.9871333333333333,0.7958115183246074,0.9964409268279226
