,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
RF Cov Trial 1,1.0,1.0,0.9999999999999999,0.8231252126691805,0.8245710455995025,0.9013471512248201
RF Cov Trial 2,1.0,1.0,1.0,0.8188614126094595,0.8189943241421952,0.8987395349245105
RF Cov Trial 3,0.9994,0.9987995198079231,1.0,0.8183683673256807,0.8174993789186756,0.9009287472970442
RF Cov Trial 4,1.0,1.0,1.0,0.8190211315042047,0.8172235958777483,0.8989085105962854
RF Cov Trial 5,1.0,1.0,1.0,0.8160368186773886,0.8142988418667622,0.8968102790282373
