,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
KNN Letter 2 Trial 1,1.0,1.0,1.0,0.9544666666666667,0.9546799354491662,0.9907264702338647
KNN Letter 2 Trial 2,1.0,1.0,1.0,0.9564666666666667,0.9564753715923482,0.9891992334764402
KNN Letter 2 Trial 3,1.0,1.0,1.0,0.9576,0.9574923138617831,0.990757341710605
KNN Letter 2 Trial 4,1.0,1.0,1.0,0.9546,0.95441461945244,0.9905309791340025
KNN Letter 2 Trial 5,1.0,1.0,1.0,0.9560666666666666,0.954298369236964,0.9910274372271611
