,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
LR Letter 2 Trial 1,0.729,0.7321605060288594,0.818212494785959,0.7237333333333333,0.7250614740479832,0.8116282998025626
LR Letter 2 Trial 2,0.7326,0.7313642756680732,0.8206058243078778,0.7212,0.7197426618415762,0.8100158002328328
LR Letter 2 Trial 3,0.7252,0.7289940828402366,0.8129973203182851,0.7269333333333333,0.7301001581444386,0.8133324524435057
LR Letter 2 Trial 4,0.7254,0.7250150210294412,0.8111103323168469,0.7207333333333333,0.7201549869730777,0.811494972658819
LR Letter 2 Trial 5,0.7332,0.7448355011476664,0.816510758526023,0.7276,0.7351148008820859,0.8121386628509066
