,Train ACC,Train F1,Train AUC,Test ACC,Test F1,Test AUC
LR Cov Trial 1,0.7558,0.7532834916144676,0.8259362845528821,0.7522916189246057,0.7493500014054024,0.8239158300176543
LR Cov Trial 2,0.7628,0.7604040404040404,0.8312349513319672,0.7545919182239259,0.7535943383070702,0.8241999375236332
LR Cov Trial 3,0.7498,0.7554252199413489,0.8235035670422829,0.7511458094623029,0.7544322186190013,0.8239314334981451
LR Cov Trial 4,0.7628,0.756668034468609,0.8376599818344861,0.7493715408706763,0.7452421962135223,0.8228923061769033
LR Cov Trial 5,0.7672,0.7621963666054298,0.8358970070823011,0.7541335944390047,0.7495981965256598,0.8235812046592458
